label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu1,256,4096,4096,bf16,258.36,214.89,223.51,0.0332,0.0413,0.0384,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,831.07,766.23,783.82,0.0930,0.1015,0.0986,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,1061.26,1019.47,1021.81,0.1376,0.1433,0.1429,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1179.42,1144.13,1144.03,0.1821,0.1877,0.1877,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1374.24,1326.56,1326.01,0.2063,0.2137,0.2138,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1381.95,1357.88,1363.04,0.2548,0.2594,0.2584,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1425.37,1400.65,1401.08,0.2953,0.3005,0.3004,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1497.73,1480.61,1484.15,0.3269,0.3307,0.3299,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1523.87,1500.80,1498.87,0.3664,0.3721,0.3725,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1575.98,1548.94,1556.64,0.3979,0.4050,0.4028,NVIDIA GB200,2062,3996,1950,3996
